,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
256,Image_2051,384,24,3,102,56,79,9.09,55,1.82,0.35,0.7,8.0,0.5
257,Image_2036,384,24,3,76,51,64,4.55,40,1.49,0.1,0.77,3.0,0.3
258,Image_2035,384,24,3,108,40,74,5.26,50,2.7,0.42,0.8,20.0,0.4
259,Image_2026,384,24,3,83,58,70,4.52,46,1.43,0.16,0.86,3.0,0.5
260,Image_2019,384,24,3,119,81,100,5.13,76,1.47,0.53,0.84,16.0,0.7
261,Image_2018,384,24,3,34,73,54,4.33,30,2.15,0.22,0.67,19.0,0.7
262,Image_2011,384,24,3,55,35,45,2.34,21,1.57,0.44,0.66,61.0,0.35
263,Image_2009,384,24,3,29,22,26,0.94,2,1.32,0.5,0.74,200.0,0.2
264,Image_2008,384,24,3,51,46,48,2.13,24,1.11,0.52,0.77,46.0,0.3
265,Image_2007,384,24,3,41,36,38,13.34,14,1.14,0.18,0.65,24.0,0.3
266,Image_2005,384,24,3,31,24,28,0.47,4,1.29,0.49,0.75,133.0,0.25
267,Image_2004,384,24,3,35,22,28,1.89,4,1.59,0.49,0.73,218.0,0.3
268,Image_1493,384,24,3,17,28,22,1.32,2,1.65,3.19,0.37,51.0,0.7
269,Image_1463,384,24,3,31,37,34,6.78,10,1.19,0.18,0.35,9.0,0.4
270,Image_1461,384,24,3,15,23,19,1.67,5,1.53,2.96,0.47,74.0,0.6
271,Image_1456,384,24,3,15,21,18,2.32,6,1.4,0.36,0.54,49.0,0.6
272,Image_1130,384,24,3,15,10,12,1.7,12,1.5,0.79,0.94,27.0,0.8
273,Image_1106,384,24,3,31,28,30,5.92,6,1.11,0.07,0.6,3.0,0.8
274,Image_998,384,24,3,34,42,38,2.51,14,1.24,0.04,0.6,1.0,0.7
275,Image_996,384,24,3,59,78,68,8.63,44,1.32,0.64,0.55,7.0,0.6
276,Image_993,384,24,3,59,75,67,11.75,43,1.27,0.13,0.37,2.0,0.4
277,Image_991,384,24,3,18,29,24,1.05,0,1.61,0.18,0.68,20.0,0.3
278,Image_990,384,24,3,19,27,23,0.94,1,1.42,0.0,0.66,0.0,0.4
279,Image_989,384,24,3,27,82,54,8.61,30,3.04,0.49,0.63,65.0,0.5
280,Image_988,384,24,3,57,114,86,2.34,62,2.0,0.37,0.55,7.0,0.4
281,Image_985,384,24,3,30,46,38,6.6,14,1.53,0.29,0.68,22.0,0.6
282,Image_907,384,24,3,48,125,86,11.0,62,2.6,0.53,0.69,33.0,0.9
283,Image_906,384,24,3,13,28,20,3.02,4,2.15,1.9,0.52,154.0,1.0
284,Image_701,384,24,3,40,73,56,2.83,32,1.82,0.29,0.52,25.0,0.3
285,Image_693,384,24,3,61,84,72,2.03,48,1.38,0.32,0.54,8.0,0.2
286,Image_680,384,24,3,53,145,99,4.26,75,2.74,0.14,0.56,2.0,0.4
287,Image_349,384,24,3,51,100,76,2.28,52,1.96,0.42,0.61,28.0,0.4
288,Image_342,384,24,3,49,64,56,21.39,32,1.31,0.26,0.6,22.0,0.5
289,Image_336,384,24,3,35,45,40,4.14,16,1.29,0.9,0.94,145.0,1.0
290,Image_330,384,24,3,84,111,98,8.1,74,1.32,0.68,0.75,52.0,0.5
291,Image_317,384,24,3,16,25,20,3.57,4,1.56,0.08,0.61,1.0,0.3
