object,size,image_name,method,precision,recall,f1_score,computation_time
Pins2,384,Image_4,hdbscan,1.0,1.0,1.0,6.047
Pins2,384,Image_5,otm,1.0,0.857,0.923,2.812
Pins2,384,Image_5,gmms,1.0,0.857,0.923,6.685
Pins2,384,Image_5,hdbscan,1.0,0.857,0.923,19.482
Pins2,384,Image_6,otm,1.0,0.8,0.889,3.506
Pins2,384,Image_6,gmms,1.0,0.8,0.889,8.746
Pins2,384,Image_6,hdbscan,1.0,0.7,0.824,24.855
Pins2,384,Image_7,otm,1.0,0.875,0.933,3.52
Pins2,384,Image_7,gmms,1.0,0.875,0.933,8.479
Pins2,384,Image_7,hdbscan,1.0,0.875,0.933,23.51
Pins2,45,Image_0,otm,1.0,0.898,0.946,13.874
Pins2,45,Image_0,gmms,0.981,0.881,0.929,20.753
Pins2,45,Image_0,hdbscan,1.0,0.322,0.487,25.421
Pins2,45,Image_1,otm,1.0,0.944,0.971,19.358
Pins2,45,Image_1,gmms,1.0,0.944,0.971,29.651
Pins2,45,Image_1,hdbscan,1.0,0.282,0.44,31.401
Pins2,45,Image_10,otm,1.0,0.889,0.941,14.345
Pins2,45,Image_10,gmms,1.0,0.889,0.941,17.234
Pins2,45,Image_10,hdbscan,1.0,0.222,0.364,20.327
Pins2,45,Image_2,otm,0.957,0.917,0.936,27.143
